{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_03', 'train_round': 7, 'timestamp': '2024-10-21T15:19:10.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.0001513454484633712, 'cost_qom': 0.0, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': -0.0009999871253967285, 'performance_post': 0.7310000061988831, 'performance_test': 0.7319999933242798}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_10', 'train_round': 7, 'timestamp': '2024-10-21T15:19:13.000+07:00', 'edge_id': 'edge10', 'cost_resource': 0.0002492454951814781, 'cost_qom': 0.0, 'cost_qod': 14.96, 'cost_context': 2.99, 'improvement_diff': -0.011333286762237549, 'performance_post': 0.721666693687439, 'performance_test': 0.7329999804496765}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_09', 'train_round': 7, 'timestamp': '2024-10-21T15:19:11.000+07:00', 'edge_id': 'edge09', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': -0.01066666841506958, 'performance_post': 0.7289999723434448, 'performance_test': 0.7396666407585144}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_06', 'train_round': 7, 'timestamp': '2024-10-21T15:19:11.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.00021794508659795208, 'cost_qom': 0.1243748813867569, 'cost_qod': 14.9, 'cost_context': 2.99, 'improvement_diff': 0.008333325386047363, 'performance_post': 0.7583333253860474, 'performance_test': 0.75}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_08', 'train_round': 7, 'timestamp': '2024-10-21T15:19:13.000+07:00', 'edge_id': 'edge08', 'cost_resource': 0.00023506758685047101, 'cost_qom': 0.10210732156094372, 'cost_qod': 14.92, 'cost_context': 2.99, 'improvement_diff': 0.00700002908706665, 'performance_post': 0.7400000095367432, 'performance_test': 0.7329999804496765}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_05', 'train_round': 7, 'timestamp': '2024-10-21T15:19:16.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.00022127957622649307, 'cost_qom': 0.06729765634071114, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.004666686058044434, 'performance_post': 0.7293333411216736, 'performance_test': 0.7246666550636292}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_01', 'train_round': 7, 'timestamp': '2024-10-21T15:19:26.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.00014250685349103022, 'cost_qom': 0.0, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': -0.013999998569488525, 'performance_post': 0.7243333458900452, 'performance_test': 0.7383333444595337}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_04', 'train_round': 7, 'timestamp': '2024-10-21T15:19:30.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.00013696474500162314, 'cost_qom': 0.14997475698407498, 'cost_qod': 14.97, 'cost_context': 2.99, 'improvement_diff': 0.01033329963684082, 'performance_post': 0.7396666407585144, 'performance_test': 0.7293333411216736}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_02', 'train_round': 7, 'timestamp': '2024-10-21T15:19:35.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 14.93, 'cost_context': 2.99, 'improvement_diff': -0.0036666393280029297, 'performance_post': 0.7400000095367432, 'performance_test': 0.7436666488647461}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_10', 'train_round': 8, 'timestamp': '2024-10-21T15:20:13.000+07:00', 'edge_id': 'edge10', 'cost_resource': 0.00018452768510424973, 'cost_qom': 0.0, 'cost_qod': 14.96, 'cost_context': 2.99, 'improvement_diff': -0.013999998569488525, 'performance_post': 0.7446666955947876, 'performance_test': 0.7586666941642761}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_08', 'train_round': 8, 'timestamp': '2024-10-21T15:20:14.000+07:00', 'edge_id': 'edge08', 'cost_resource': 0.00019048781864373096, 'cost_qom': 0.015037573191068887, 'cost_qod': 14.92, 'cost_context': 2.99, 'improvement_diff': 0.0009999871253967285, 'performance_post': 0.7566666603088379, 'performance_test': 0.7556666731834412}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_03', 'train_round': 8, 'timestamp': '2024-10-21T15:20:15.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.00016254222560214453, 'cost_qom': 0.0, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': -0.01733332872390747, 'performance_post': 0.7443333268165588, 'performance_test': 0.7616666555404663}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_06', 'train_round': 8, 'timestamp': '2024-10-21T15:20:15.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.00019644463105777875, 'cost_qom': 0.0, 'cost_qod': 14.9, 'cost_context': 2.99, 'improvement_diff': -0.022000014781951904, 'performance_post': 0.7453333139419556, 'performance_test': 0.7673333287239075}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_07', 'train_round': 8, 'timestamp': '2024-10-21T15:20:14.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': -0.0006666183471679688, 'performance_post': 0.7513333559036255, 'performance_test': 0.7519999742507935}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_05', 'train_round': 8, 'timestamp': '2024-10-21T15:20:15.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.00017492239768531718, 'cost_qom': 0.14344074672721907, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.009666621685028076, 'performance_post': 0.7553333044052124, 'performance_test': 0.7456666827201843}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_09', 'train_round': 8, 'timestamp': '2024-10-21T15:20:14.000+07:00', 'edge_id': 'edge09', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': -0.013666629791259766, 'performance_post': 0.7456666827201843, 'performance_test': 0.7593333125114441}
