{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_09', 'train_round': 1, 'timestamp': '2024-11-05T10:56:12.000+07:00', 'edge_id': 'edge09', 'cost_resource': 0.00020921615129854235, 'cost_qom': 0.17590560759631657, 'cost_qod': 11.59, 'cost_context': 2.99, 'improvement_diff': 0.715575635433197, 'performance_post': 0.740406334400177, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_03', 'train_round': 1, 'timestamp': '2024-11-05T10:56:13.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.022403788113932427, 'cost_qom': 0.8791978934239912, 'cost_qod': 12.29, 'cost_context': 2.99, 'improvement_diff': 0.20839999616146088, 'performance_post': 0.4203999936580658, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_10', 'train_round': 15, 'timestamp': '2024-11-05T11:03:12.000+07:00', 'edge_id': 'edge10', 'cost_resource': 7.352469685033107e-05, 'cost_qom': 0.05944754143569924, 'cost_qod': 9.88, 'cost_context': 2.99, 'improvement_diff': 0.007200002670288086, 'performance_post': 0.8411999940872192, 'performance_test': 0.1899999976158142}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_tester', 'train_round': 1, 'timestamp': '2024-11-05T10:56:21.000+07:00', 'edge_id': 'edge_tester', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 9.74, 'cost_context': 2.99, 'improvement_diff': 0.0, 'performance_post': 0.0, 'performance_test': 0.38600000739097595}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_03', 'train_round': 15, 'timestamp': '2024-11-05T11:03:15.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.0002093248749900858, 'cost_qom': 0.0, 'cost_qod': 12.29, 'cost_context': 2.99, 'improvement_diff': -0.0031999945640563965, 'performance_post': 0.8392000198364258, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_01', 'train_round': 15, 'timestamp': '2024-11-05T11:03:14.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.00017042828489427766, 'cost_qom': 0.22214117976502123, 'cost_qod': 12.32, 'cost_context': 2.99, 'improvement_diff': 0.013599991798400879, 'performance_post': 0.8343999981880188, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_08', 'train_round': 15, 'timestamp': '2024-11-05T11:03:17.000+07:00', 'edge_id': 'edge08', 'cost_resource': 0.007568469716575238, 'cost_qom': 0.0, 'cost_qod': 10.76, 'cost_context': 2.99, 'improvement_diff': -0.02120000123977661, 'performance_post': 0.8191999793052673, 'performance_test': 0.1899999976158142}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_07', 'train_round': 15, 'timestamp': '2024-11-05T11:03:16.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.021475102291210697, 'cost_qom': 0.07309533558398584, 'cost_qod': 12.3, 'cost_context': 2.99, 'improvement_diff': 0.004400014877319336, 'performance_post': 0.8392000198364258, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_06', 'train_round': 15, 'timestamp': '2024-11-05T11:03:12.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.00016156666807757235, 'cost_qom': 0.0, 'cost_qod': 12.26, 'cost_context': 2.99, 'improvement_diff': -0.014800012111663818, 'performance_post': 0.8235999941825867, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_05', 'train_round': 15, 'timestamp': '2024-11-05T11:03:16.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.0002337885687998931, 'cost_qom': 0.0, 'cost_qod': 12.25, 'cost_context': 2.99, 'improvement_diff': -0.006400048732757568, 'performance_post': 0.8367999792098999, 'performance_test': 0.0}
